id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work
10.2307/41053138,10.2307/41053138	,Introduction to Volume 5	,Gary M. Feinman	T. Douglas Price	,Journal of Archaeological Research	,5	,1	,1997-03-01T00:00:00Z	,pp. 1-2	,Springer	,mis	,	,
10.2307/41053198,10.2307/41053198	,Current Issues in Ceramic Ethnoarchaeology	,Miriam T. Stark	,Journal of Archaeological Research	,11	,3	,2003-09-01T00:00:00Z	,pp. 193-242	,Springer	,fla	,	,
10.2307/41053194,10.2307/41053194	,Front Matter	,	,Journal of Archaeological Research	,11	,2	,2003-06-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053156,10.2307/41053156	,The Enisei River of Central Siberia in the Late Pleistocene	,Richard S. Davis	,Journal of Archaeological Research	,6	,2	,1998-06-01T00:00:00Z	,pp. 169-194	,Springer	,fla	,	,
10.2307/41053133,10.2307/41053133	,Amazonian Archaeology; Searching for Paradise? A Review of Recent Literature and Fieldwork	,Neil L. Whitehead	,Journal of Archaeological Research	,4	,3	,1996-09-01T00:00:00Z	,pp. 241-264	,Springer	,fla	,	,
10.2307/41053079,10.2307/41053079	,News from the Northern American Southwest: Prehistory on the Edge of Chaos	,Timothy A. Kohler	,Journal of Archaeological Research	,1	,4	,1993-12-01T00:00:00Z	,pp. 267-321	,Springer	,fla	,	,
10.2307/41053116,10.2307/41053116	,Archaeology and Roman Society: Integrating Textual and Archaeological Data	,Glenn R. Storey	,Journal of Archaeological Research	,7	,3	,1999-09-01T00:00:00Z	,pp. 203-248	,Springer	,fla	,	,
10.2307/41053127,10.2307/41053127	,Front Matter	,	,Journal of Archaeological Research	,8	,3	,2000-09-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053104,10.2307/41053104	,Is There a Future for the Past? An Overview of Archaeology in Western Russia and Ukraine	,David W. Anthony	,Journal of Archaeological Research	,3	,3	,1995-09-01T00:00:00Z	,pp. 177-204	,Springer	,fla	,	,
10.2307/41053089,10.2307/41053089	,Front Matter	,	,Journal of Archaeological Research	,2	,3	,1994-09-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053210,10.2307/41053210	,Complex Hunter-Gatherers in Evolution and History: A North American Perspective	,Kenneth E. Sassaman	,Journal of Archaeological Research	,12	,3	,2004-09-01T00:00:00Z	,pp. 227-280	,Springer	,fla	,	,
10.2307/41053256,10.2307/41053256	,Front Matter	,	,Journal of Archaeological Research	,17	,1	,2009-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053085,10.2307/41053085	,The Coming of Age of the History of Archaeology	,Bruce G. Trigger	,Journal of Archaeological Research	,2	,1	,1994-03-01T00:00:00Z	,pp. 113-136	,Springer	,fla	,	,
10.2307/41053205,10.2307/41053205	,Studying the Development of Complex Society: Mesopotamia in the Late Fifth and Fourth Millennia BC	,Mitchell S. Rothman	,Journal of Archaeological Research	,12	,1	,2004-03-01T00:00:00Z	,pp. 75-119	,Springer	,fla	,	,
10.2307/41053065,10.2307/41053065	,Front Matter	,	,Journal of Archaeological Research	,1	,1	,1993-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053150,10.2307/41053150	,Front Matter	,	,Journal of Archaeological Research	,6	,1	,1998-03-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41053072,10.2307/41053072	,The World-Systems Perspective and Archaeology: Forward into the Past	,Thomas D. Hall	Christopher Chase-Dunn	,Journal of Archaeological Research	,1	,2	,1993-06-01T00:00:00Z	,pp. 121-143	,Springer	,fla	,	,
10.2307/41410935,10.2307/41410935	,A Tale of Two Migrations: Reconciling Recent Biological and Archaeological Evidence for the Pleistocene Peopling of the Americas	,Bonnie L. Pitblado	,Journal of Archaeological Research	,19	,4	,2011-12-01T00:00:00Z	,pp. 327-375	,Springer	,fla	,	,
10.2307/41053247,10.2307/41053247	,Front Matter	,	,Journal of Archaeological Research	,16	,2	,2008-06-01T00:00:00Z	,	,Springer	,mis	,	,
10.2307/41680525,10.2307/41680525	,Inner Asian States and Empires: Theories and Synthesis	,J. Daniel Rogers	,Journal of Archaeological Research	,20	,3	,2012-09-01T00:00:00Z	,pp. 205-256	,Springer	,fla	,	,
