id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work
10.2307/20622438,10.2307/20622438	,The Enshrined Pueblo: Villagescape and Cosmos in the Northern Rio Grande	,Severin M. Fowles	,American Antiquity	,74	,3	,2009-07-01T00:00:00Z	,pp. 448-466	,Society for American Archaeology	,fla	,	,
10.2307/277980,10.2307/277980	,Las Madres in the Light of Anasazi Migrations	,Bertha P. Dutton	,American Antiquity	,29	,4	,1964-04-01T00:00:00Z	,pp. 449-454	,Society for American Archaeology	,fla	,	,
10.2307/278039,10.2307/278039	,An Early Man Site in the San Joaquin Valley_ California	,Francis A. Riddell	William H. Olsen	,American Antiquity	,34	,2	,1969-04-01T00:00:00Z	,pp. 121-130	,Society for American Archaeology	,fla	,	,
10.2307/281061,10.2307/281061	,Alyawara Site Structure and Its Archaeological Implications	,James F. O'Connell	,American Antiquity	,52	,1	,1987-01-01T00:00:00Z	,pp. 74-108	,Society for American Archaeology	,fla	,	,
10.2307/278287,10.2307/278287	,A Fluted Point from the Old World	,Philip E. L. Smith	,American Antiquity	,28	,3	,1963-01-01T00:00:00Z	,pp. 397-399	,Society for American Archaeology	,fla	,	,
10.2307/277039,10.2307/277039	,The Bintz Site	,Howard A. MacCord	,American Antiquity	,18	,3	,1953-01-01T00:00:00Z	,pp. 239-244	,Society for American Archaeology	,fla	,	,
10.2307/279506,10.2307/279506	,Erratum: Archaeology beyond Anthropology	,	,American Antiquity	,43	,4	,1978-10-01T00:00:00Z	,p. 740	,Society for American Archaeology	,fla	,	,
10.2307/280863,10.2307/280863	,The Agricultural Foundations of the Tiwanaku State: A View from the Heartland	,Alan L. Kolata	,American Antiquity	,51	,4	,1986-10-01T00:00:00Z	,pp. 748-762	,Society for American Archaeology	,fla	,	,
10.2307/282460,10.2307/282460	,Hedgepeth Mounds_ an Archaic Mound Complex in North-Central Louisiana	,Joe W. Saunders	Thurman Allen	,American Antiquity	,59	,3	,1994-07-01T00:00:00Z	,pp. 471-489	,Society for American Archaeology	,fla	,	,
10.2307/278906,10.2307/278906	,Explanatory Models for the Evolution of Coastal Adaptation in Prehistoric Eastern New England	,David P. Braun	,American Antiquity	,39	,4	,1974-10-01T00:00:00Z	,pp. 582-596	,Society for American Archaeology	,fla	,	,
10.2307/278818,10.2307/278818	,The Milling Stone Complex_ Genuine or Spurious	,Hal Eberhart	,American Antiquity	,30	,3	,1965-01-01T00:00:00Z	,pp. 352-353	,Society for American Archaeology	,fla	,	,
10.2307/275867,10.2307/275867	,Animal Tooth Implements from Shell Heaps of Maine	,E. E. Tyzzer	,American Antiquity	,8	,4	,1943-04-01T00:00:00Z	,pp. 354-362	,Society for American Archaeology	,fla	,	,
10.2307/277994,10.2307/277994	,Agricultural Terraces in Chibcha Territory_ Colombia	,Sylvia M. Broadbent	,American Antiquity	,29	,4	,1964-04-01T00:00:00Z	,pp. 501-504	,Society for American Archaeology	,fla	,	,
10.2307/276202,10.2307/276202	,Geological Age of the Claypool Site_ Northeastern Colorado	,Harold E. Malde	,American Antiquity	,26	,2	,1960-10-01T00:00:00Z	,pp. 236-243	,Society for American Archaeology	,fla	,	,
10.2307/275429,10.2307/275429	,The Pre-Pottery Faulkner Site of Southern Illinois	,Richard S. MacNeish	,American Antiquity	,13	,3	,1948-01-01T00:00:00Z	,pp. 232-243	,Society for American Archaeology	,fla	,	,
10.2307/280605,10.2307/280605	,Preservation of Archaeological Sites through Acquisition	,Mark R. Barnes	,American Antiquity	,46	,3	,1981-07-01T00:00:00Z	,pp. 610-618	,Society for American Archaeology	,fla	,	,
10.2307/2694350,10.2307/2694350	,Spatial and Multivariate Analysis_ Random Sampling Error_ and Analytical Noise: Empirical Bayesian Methods at Teotihuacan_ Mexico	,Ian G. Robertson	,American Antiquity	,64	,1	,1999-01-01T00:00:00Z	,pp. 137-152	,Society for American Archaeology	,fla	,	,
10.2307/281888,10.2307/281888	,The Sample Size-Richness Relation: A Comment on Plog and Hegmon	,Robert D. Leonard	,American Antiquity	,62	,4	,1997-10-01T00:00:00Z	,pp. 713-716	,Society for American Archaeology	,fla	,	,
10.2307/278270,10.2307/278270	,Administration of Contract Emergency Archaeological Programs	,Jesse D. Jennings	,American Antiquity	,28	,3	,1963-01-01T00:00:00Z	,pp. 282-285	,Society for American Archaeology	,fla	,	,
10.2307/277443,10.2307/277443	,Ceramic Affiliations in the Northwestern Plains	,Alice B. Kehoe	,American Antiquity	,25	,2	,1959-10-01T00:00:00Z	,pp. 237-246	,Society for American Archaeology	,fla	,	,
10.2307/275871,10.2307/275871	,Archaeological Needs for Florida	,Frederick W. Sleight	,American Antiquity	,8	,4	,1943-04-01T00:00:00Z	,pp. 387-391	,Society for American Archaeology	,fla	,	,
10.2307/277514,10.2307/277514	,The Classification of Artifacts in Archaeology	,Irving Rouse	,American Antiquity	,25	,3	,1960-01-01T00:00:00Z	,pp. 313-323	,Society for American Archaeology	,fla	,	,
10.2307/279063,10.2307/279063	,Design Analysis of Painted Pottery	,Patty Jo Watson	,American Antiquity	,42	,3	,1977-07-01T00:00:00Z	,pp. 381-393	,Society for American Archaeology	,fla	,	,
10.2307/278557,10.2307/278557	,Feasible Ocean Routes to and from the Americas in Pre-Columbian Times	,Thor Heyerdahl	,American Antiquity	,28	,4	,1963-04-01T00:00:00Z	,pp. 482-488	,Society for American Archaeology	,fla	,	,
10.2307/282379,10.2307/282379	,The Plateau Interaction Sphere and Late Prehistoric Cultural Complexity	,Brian Hayden	Rick Schulting	,American Antiquity	,62	,1	,1997-01-01T00:00:00Z	,pp. 51-85	,Society for American Archaeology	,fla	,	,
10.2307/275707,10.2307/275707	,Trade Materials at Spiro Mound as Indicated by Artifacts	,Robert E. Bell	,American Antiquity	,12	,3	,1947-01-01T00:00:00Z	,pp. 181-184	,Society for American Archaeology	,fla	,	,
10.2307/278028,10.2307/278028	,Archaic and Poverty Point Zoomorphic Locust Beads	,Clarence H. Webb	,American Antiquity	,36	,1	,1971-01-01T00:00:00Z	,pp. 105-114	,Society for American Archaeology	,fla	,	,
10.2307/25470539,10.2307/25470539	,Hierarchy_ Communalism_ and the Spatial Order of Northwest Coast Plank Houses: A Comparative Study	,Gary Coupland	Terence Clark	Amanda Palmer	,American Antiquity	,74	,1	,2009-01-01T00:00:00Z	,pp. 77-106	,Society for American Archaeology	,fla	,	,
10.2307/277678,10.2307/277678	,Ancient Settlements in the Main River Valley_ Chukchi Peninsula	,A. P. Okladnikov	I. A. Nekrasov	,American Antiquity	,27	,4	,1962-04-01T00:00:00Z	,pp. 546-556	,Society for American Archaeology	,fla	,	,
10.2307/279014,10.2307/279014	,Reconstructing Ceramic Assemblages: An Experiment to Derive the Morphology and Capacity of Parent Vessels from Sherds	,Jonathon E. Ericson	Suzanne P. de Atley	,American Antiquity	,41	,4	,1976-10-01T00:00:00Z	,pp. 484-489	,Society for American Archaeology	,fla	,	,
10.2307/277438,10.2307/277438	,Ceramic Profiles in the Western Mound at Awatovi_ Northeastern Arizona	,Robert F. Burgh	,American Antiquity	,25	,2	,1959-10-01T00:00:00Z	,pp. 184-202	,Society for American Archaeology	,fla	,	,
10.2307/2694758,10.2307/2694758	,Additional Radiocarbon Dates from the Sambaquίs of Brazil	,Wesley R. Hurt	,American Antiquity	,31	,3	,1966-01-01T00:00:00Z	,pp. 440-441	,Society for American Archaeology	,fla	,	,
10.2307/280392,10.2307/280392	,Technological Efficiency and Tool Curation	,Douglas B. Bamforth	,American Antiquity	,51	,1	,1986-01-01T00:00:00Z	,pp. 38-50	,Society for American Archaeology	,fla	,	,
10.2307/278284,10.2307/278284	,A Training Program for Salvage Archaeology	,James J. Hester	,American Antiquity	,28	,3	,1963-01-01T00:00:00Z	,pp. 392-394	,Society for American Archaeology	,fla	,	,
10.2307/281546,10.2307/281546	,Prehistoric Diet and Parasitic Infection in Tennessee: Evidence from the Analysis of Desiccated Human Paleofeces	,Charles T. Faulkner	,American Antiquity	,56	,4	,1991-10-01T00:00:00Z	,pp. 687-700	,Society for American Archaeology	,fla	,	,
10.2307/2694280,10.2307/2694280	,On Methods of Measuring Ceramic Uselife: A Revision of the Uselife Estimates of Cooking Vessels among the Kalinga_ Philippines	,Masakazu Tani	William A. Longacre	,American Antiquity	,64	,2	,1999-04-01T00:00:00Z	,pp. 299-308	,Society for American Archaeology	,fla	,	,
10.2307/280525,10.2307/280525	,Thermal Alteration of Bald Eagle Jasper: Authors' Reply to Patterson	,Debra L. Schindler	James W. Hatch	Conran A. Hay	Richard C. Bradt	,American Antiquity	,49	,1	,1984-01-01T00:00:00Z	,pp. 173-177	,Society for American Archaeology	,fla	,	,
10.2307/4128406,10.2307/4128406	,High Precision Measurement of Obsidian Hydration Layers on Artifacts from the Hopewell Site Using Secondary Ion Mass Spectrometry	,Christopher M. Stevenson	Ihab Abdelrehim	Steven W. Novak	,American Antiquity	,69	,3	,2004-07-01T00:00:00Z	,pp. 555-567	,Society for American Archaeology	,fla	,	,
10.2307/40035364,10.2307/40035364	,Stallings Island Revisited: New Evidence for Occupational History_ Community Pattern_ and Subsistence Technology	,Kenneth E. Sassaman	Meggan E. Blessing	Asa R. Randall	,American Antiquity	,71	,3	,2006-07-01T00:00:00Z	,pp. 539-565	,Society for American Archaeology	,fla	,	,
10.2307/278743,10.2307/278743	,The Relative Value of Fragmentary Mammalian Remains	,S. J. Olsen	,American Antiquity	,26	,4	,1961-04-01T00:00:00Z	,pp. 538-540	,Society for American Archaeology	,fla	,	,
10.2307/275296,10.2307/275296	,Some Problems in Northeastern Archaeology	,Gutorm Gjessing	,American Antiquity	,13	,4	,1948-04-01T00:00:00Z	,pp. 298-302	,Society for American Archaeology	,fla	,	,
10.2307/278981,10.2307/278981	,A Late Postclassic Sweathouse in the Highlands of Guatemala	,Alain Ichon	,American Antiquity	,42	,2	,1977-04-01T00:00:00Z	,pp. 203-209	,Society for American Archaeology	,fla	,	,
10.2307/275751,10.2307/275751	,An Archaeological Reconnaissance in Tamaulipas_ Mexico	,Jack T. Hughes	,American Antiquity	,13	,1	,1947-07-01T00:00:00Z	,pp. 33-39	,Society for American Archaeology	,fla	,	,
10.2307/40035324,10.2307/40035324	,Early Storage and Sedentism on the Pacific Northwest Coast: Ancient DNA Analysis of Salmon Remains from Namu_ British Columbia	,Aubrey Cannon	Dongya Y. Yang	,American Antiquity	,71	,1	,2006-01-01T00:00:00Z	,pp. 123-140	,Society for American Archaeology	,fla	,	,
10.2307/276108,10.2307/276108	,A Shellmound in Marin County_ California	,D. J. McGeein	W. C. Mueller	,American Antiquity	,21	,1	,1955-07-01T00:00:00Z	,pp. 52-62	,Society for American Archaeology	,fla	,	,
10.2307/282017,10.2307/282017	,Earthquake-Induced Subsidence and Burial of Late Holocene Archaeological Sites_ Northern Oregon Coast	,Rick Minor	Wendy C. Grant	,American Antiquity	,61	,4	,1996-10-01T00:00:00Z	,pp. 772-781	,Society for American Archaeology	,fla	,	,
10.2307/281654,10.2307/281654	,Reevaluation of Early Cochise Artifact Associations with Pleistocene Lake Cochise_ Southeastern Arizona	,Anne I. Woosley	Michael R. Waters	,American Antiquity	,55	,2	,1990-04-01T00:00:00Z	,pp. 360-366	,Society for American Archaeology	,fla	,	,
10.2307/281455,10.2307/281455	,Big Pots for Big Shots: Feasting and Storage in a Mississippian Community	,John H. Blitz	,American Antiquity	,58	,1	,1993-01-01T00:00:00Z	,pp. 80-96	,Society for American Archaeology	,fla	,	,
10.2307/281282,10.2307/281282	,Simulation Models and the Interpretation of Archaeological Diversity	,Peter H. McCartney	Margaret F. Glass	,American Antiquity	,55	,3	,1990-07-01T00:00:00Z	,pp. 521-536	,Society for American Archaeology	,fla	,	,
10.2307/20622426,10.2307/20622426	,Adaptive Cycles of Coastal Hunter-Gatherers	,Victor D. Thompson	John A. Turck	,American Antiquity	,74	,2	,2009-04-01T00:00:00Z	,pp. 255-278	,Society for American Archaeology	,fla	,	,
10.2307/280145,10.2307/280145	,Crocodilians and Olmecs: Further Interpretations in Formative Period Iconography	,Terry Stocker	Sarah Meltzoff	Steve Armsey	,American Antiquity	,45	,4	,1980-10-01T00:00:00Z	,pp. 740-758	,Society for American Archaeology	,fla	,	,
10.2307/2694345,10.2307/2694345	,Nasty_ Brutish_ but Not Necessarily Short: A Reconsideration of the Statistical Methods Used to Calculate Age at Death from Adult Human Skeletal and Dental Age Indicators	,Robert G. Aykroyd	David Lucy	A. Mark Pollard	Charlotte A. Roberts	,American Antiquity	,64	,1	,1999-01-01T00:00:00Z	,pp. 55-70	,Society for American Archaeology	,fla	,	,
10.2307/275967,10.2307/275967	,A New Method of Sherd Classification	,Roy Ward Drier	,American Antiquity	,5	,1	,1939-07-01T00:00:00Z	,pp. 31-35	,Society for American Archaeology	,fla	,	,
10.2307/276815,10.2307/276815	,The Cultural Position of the Bahamas in Caribbean Archaeology	,Julian Granberry	,American Antiquity	,22	,2	,1956-10-01T00:00:00Z	,pp. 128-134	,Society for American Archaeology	,fla	,	,
10.2307/282462,10.2307/282462	,The Effects of Stone and Technology on Fluted-Point Morphometry	,Kenneth B. Tankersley	,American Antiquity	,59	,3	,1994-07-01T00:00:00Z	,pp. 498-510	,Society for American Archaeology	,fla	,	,
10.2307/278754,10.2307/278754	,A Ball Court at Point of Pines_ Arizona	,Alfred E. Johnson	,American Antiquity	,26	,4	,1961-04-01T00:00:00Z	,pp. 563-567	,Society for American Archaeology	,fla	,	,
10.2307/278910,10.2307/278910	,Two Ethnographic Functions of Bird-Form Pottery from Oaxaca_ Mexico	,Dudley M. Varner	,American Antiquity	,39	,4	,1974-10-01T00:00:00Z	,pp. 616-617	,Society for American Archaeology	,fla	,	,
10.2307/276920,10.2307/276920	,On a Supposed Mesoamerican "Thin Orange" Vessel from Ecuador	,H. B. Nicholson	,American Antiquity	,19	,2	,1953-10-01T00:00:00Z	,pp. 164-166	,Society for American Archaeology	,fla	,	,
10.2307/275074,10.2307/275074	,The Reducing Atmosphere and Oxidizing Atmosphere in Prehistoric Southwestern Ceramics	,Harold S. Colton	,American Antiquity	,4	,3	,1939-01-01T00:00:00Z	,pp. 224-231	,Society for American Archaeology	,fla	,	,
10.2307/276538,10.2307/276538	,Californian Flicker-Quill Headbands in the Light of an Ancient Colorado Cave Specimen	,Gordon W. Hewes	,American Antiquity	,18	,2	,1952-10-01T00:00:00Z	,pp. 147-154	,Society for American Archaeology	,fla	,	,
10.2307/275300,10.2307/275300	,The Facts concerning the Clear Fork Culture	,Cyrus N. Ray	,American Antiquity	,13	,4	,1948-04-01T00:00:00Z	,pp. 320-322	,Society for American Archaeology	,fla	,	,
10.2307/280064,10.2307/280064	,Con Manos Arriba: Tayasal and Archaeology	,Arlen F. Chase	,American Antiquity	,47	,1	,1982-01-01T00:00:00Z	,pp. 167-171	,Society for American Archaeology	,fla	,	,
10.2307/275283,10.2307/275283	,The Proposed National Monument at Manuelito_ New Mexico	,D. W. Van Devanter	,American Antiquity	,5	,3	,1940-01-01T00:00:00Z	,pp. 223-225	,Society for American Archaeology	,fla	,	,
10.2307/275359,10.2307/275359	,Glyphs Z and Y of the Maya Supplementary Series	,E. Wyllys Andrews	,American Antiquity	,4	,1	,1938-07-01T00:00:00Z	,pp. 30-35	,Society for American Archaeology	,fla	,	,
10.2307/278675,10.2307/278675	,On the Use of Cumulative Curves and Numerical Taxonomy	,David H. Thomas	,American Antiquity	,36	,2	,1971-04-01T00:00:00Z	,pp. 206-209	,Society for American Archaeology	,fla	,	,
10.2307/278150,10.2307/278150	,A Quimbaya Gold Furnace?	,Karen Olsen Bruhns	,American Antiquity	,35	,2	,1970-04-01T00:00:00Z	,pp. 202-203	,Society for American Archaeology	,fla	,	,
10.2307/276341,10.2307/276341	,Painted Stone Slabs of Point of Pines_ Arizona	,Charles C. DiPeso	,American Antiquity	,16	,1	,1950-07-01T00:00:00Z	,pp. 57-65	,Society for American Archaeology	,fla	,	,
10.2307/280975,10.2307/280975	,Direct Dating of Prehistoric Canal Sediments Using Archaeomagnetism	,Jeffrey L. Eighmy	Jerry B. Howard	,American Antiquity	,56	,1	,1991-01-01T00:00:00Z	,pp. 88-102	,Society for American Archaeology	,fla	,	,
10.2307/276204,10.2307/276204	,Reply to Macneish	,Walter W. Taylor	,American Antiquity	,26	,2	,1960-10-01T00:00:00Z	,pp. 263-266	,Society for American Archaeology	,fla	,	,
10.2307/276912,10.2307/276912	,An Archaeological Reconnaissance in South-Central Quebec_ 1950	,Edward S. Rogers	Roger A. Bradley	,American Antiquity	,19	,2	,1953-10-01T00:00:00Z	,pp. 138-144	,Society for American Archaeology	,fla	,	,
10.2307/280104,10.2307/280104	,The Origin and Spread of the Calumet Ceremony	,Donald J. Blakeslee	,American Antiquity	,46	,4	,1981-10-01T00:00:00Z	,pp. 759-768	,Society for American Archaeology	,fla	,	,
10.2307/278414,10.2307/278414	,Photoarchaeological Analysis of Potomac River Fish Traps	,Carl H. Strandberg	Ray Tomlinson	,American Antiquity	,34	,3	,1969-07-01T00:00:00Z	,pp. 312-319	,Society for American Archaeology	,fla	,	,
10.2307/279148,10.2307/279148	,Application of Geomorphic Data to Archaeology: A Comment	,David L. Weide	Margaret L. Weide	,American Antiquity	,38	,4	,1973-10-01T00:00:00Z	,pp. 428-431	,Society for American Archaeology	,fla	,	,
10.2307/275158,10.2307/275158	,Contribution to Montana Archaeology	,N. C. Nelson	,American Antiquity	,9	,2	,1943-10-01T00:00:00Z	,pp. 162-169	,Society for American Archaeology	,fla	,	,
10.2307/277912,10.2307/277912	,The Climatic Significance of the Hosterman's Pit Local Fauna_ Centre County_ Pennsylvania	,John E. Guilday	,American Antiquity	,32	,2	,1967-04-01T00:00:00Z	,pp. 231-232	,Society for American Archaeology	,fla	,	,
10.2307/281782,10.2307/281782	,Application of Allometry to Zooarchaeology	,Elizabeth J. Reitz	Irvy R. Quitmyer	H. Stephen Hale	Sylvia J. Scudder	Elizabeth S. Wing	,American Antiquity	,52	,2	,1987-04-01T00:00:00Z	,pp. 304-317	,Society for American Archaeology	,fla	,	,
10.2307/277733,10.2307/277733	,Middle Mississippian Agricultural Fields	,Melvin L. Fowler	,American Antiquity	,34	,4	,1969-10-01T00:00:00Z	,pp. 365-375	,Society for American Archaeology	,fla	,	,
10.2307/278309,10.2307/278309	,Identification of the Sources of Hopewellian Obsidian in the Middle West	,James B. Griffin	A. A. Gordus	G. A. Wright	,American Antiquity	,34	,1	,1969-01-01T00:00:00Z	,pp. 1-14	,Society for American Archaeology	,fla	,	,
10.2307/280023,10.2307/280023	,A Mississippian Period Ritual Cave in Tennessee	,Charles H. Faulkner	Bill Deane	Howard H. Earnest_ Jr.	,American Antiquity	,49	,2	,1984-04-01T00:00:00Z	,pp. 350-361	,Society for American Archaeology	,fla	,	,
