id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work
10.2307/530303,10.2307/530303	,Ancient West Mexican Metallurgy: A Technological Chronology	,Dorothy Hosler	,Journal of Field Archaeology	,15	,2	,1988-07-01T00:00:00Z	,pp. 191-217	,Maney Publishing	,fla	,	,
10.2307/529885,10.2307/529885	,Back Matter	,	,Journal of Field Archaeology	,16	,1	,1989-04-01T00:00:00Z	,	,Maney Publishing	,mis	,	,
10.2307/529809,10.2307/529809	,The Material Culture Registry at Tell El-Hesi	,Mary Bennett	W. J. Bennett_ Jr.	,Journal of Field Archaeology	,3	,1	,1976-01-01T00:00:00Z	,pp. 97-101	,Maney Publishing	,fla	,	,
10.2307/529755,10.2307/529755	,Front Matter	,	,Journal of Field Archaeology	,7	,2	,1980-07-01T00:00:00Z	,	,Maney Publishing	,mis	,	,
10.2307/529829,10.2307/529829	,News and Short Contributions	,R. E. W. Adams	T. Patrick Culbert	Walter E. Brown_ Jr.	Peter D. Harrison	Laura J. Levi	Thomas J. Banks	,Journal of Field Archaeology	,17	,2	,1990-07-01T00:00:00Z	,pp. 241-244	,Maney Publishing	,fla	,	,
10.2307/529492,10.2307/529492	,Three Walled Sites of the Northern Maya Lowlands	,David Webster	,Journal of Field Archaeology	,5	,4	,1978-12-01T00:00:00Z	,pp. 375-390	,Maney Publishing	,fla	,	,
10.2307/3181430,10.2307/3181430	,Volume Information	,	,Journal of Field Archaeology	,28	,3/4	,2001-10-01T00:00:00Z	,	,Maney Publishing	,mis	,	,
10.2307/530569,10.2307/530569	,	,Curtis Runnels	,Journal of Field Archaeology	,24	,1	,1997-04-01T00:00:00Z	,pp. 125-130	,Maney Publishing	,brv	,Schliemann of Troy: Treasure and Deceit|David A. Traill	,
10.2307/529620,10.2307/529620	,Surface and Subsurface Evidence for Community Size at Coapexco_ Mexico	,Paul Tolstoy	Suzanne K. Fish	,Journal of Field Archaeology	,2	,1/2	,1975-01-01T00:00:00Z	,pp. 97-104	,Maney Publishing	,fla	,	,
10.2307/530708,10.2307/530708	,	,Paul Goldberg	,Journal of Field Archaeology	,26	,4	,1999-12-01T00:00:00Z	,pp. 462-463	,Maney Publishing	,brv	,Alluvial Geoarchaeology|A. G. Brown	,
10.2307/529482,10.2307/529482	,Ceramic Processing: An Appraisal of the Lake Vouliagméni Recording System and the Issues Addressed by Nicholas David	,Martha Sharp Joukowsky	,Journal of Field Archaeology	,9	,2	,1982-07-01T00:00:00Z	,pp. 248-251	,Maney Publishing	,fla	,	,
10.2307/529948,10.2307/529948	,Front Matter	,	,Journal of Field Archaeology	,20	,2	,1993-07-01T00:00:00Z	,pp. 132-204	,Maney Publishing	,mis	,	,
10.2307/529904,10.2307/529904	,News and Short Contributions	,Leland C. Bement	Giraud V. Foster	Jay R. Newman	Roger L. Nielsen	,Journal of Field Archaeology	,12	,3	,1985-10-01T00:00:00Z	,pp. 371-383	,Maney Publishing	,fla	,	,
10.2307/530217,10.2307/530217	,Organization and Differentiation within Late Prehistoric Ranked Social Units_ Mariana Islands_ Western Pacific	,Michael W. Graves	,Journal of Field Archaeology	,13	,2	,1986-07-01T00:00:00Z	,pp. 139-154	,Maney Publishing	,fla	,	,
10.2307/529873,10.2307/529873	,	,Al B. Wesolowsky	,Journal of Field Archaeology	,21	,2	,1994-07-01T00:00:00Z	,pp. 253-256	,Maney Publishing	,brv	,Archaeology_ History_ and Custer's Last Battle: The Little Big Horn Reexamined|Richard Allan Fox_ Jr.	,
10.2307/529799,10.2307/529799	,Preservation and Rescue	,Thomas F. King	,Journal of Field Archaeology	,8	,4	,1981-12-01T00:00:00Z	,pp. 505-509	,Maney Publishing	,fla	,	,
10.2307/530361,10.2307/530361	,	,Rosemary Joyce	,Journal of Field Archaeology	,20	,1	,1993-04-01T00:00:00Z	,pp. 114-117	,Maney Publishing	,brv	,Classic Maya Political History: Hieroglyphic and Archaeological Evidence|T. Patrick Culbert	Scribes_ Warriors and Kings: The City of Copán and the Ancient Maya|William L. Fash	,
10.2307/530252,10.2307/530252	,Back Matter	,	,Journal of Field Archaeology	,21	,1	,1994-04-01T00:00:00Z	,p. 132	,Maney Publishing	,mis	,	,
10.2307/529673,10.2307/529673	,Preservation and Rescue	,Thomas F. King	,Journal of Field Archaeology	,9	,3	,1982-10-01T00:00:00Z	,pp. 389-395	,Maney Publishing	,fla	,	,
10.2307/529637,10.2307/529637	,The Antiquities Market	,Karen D. Vitelli	,Journal of Field Archaeology	,4	,3	,1977-10-01T00:00:00Z	,p. 363	,Maney Publishing	,fla	,	,
10.2307/530695,10.2307/530695	,	,Daniel J. Pullen	,Journal of Field Archaeology	,24	,3	,1997-10-01T00:00:00Z	,pp. 380-382	,Maney Publishing	,brv	,The Absolute Chronology of the Aegean Early Bronze Age: Archaeology_ Radiocarbon_ and History|Sturt W. Manning	,
10.2307/530085,10.2307/530085	,Affluence and Image: Ethnoarchaeology in a Syrian Village	,Kathryn A. Kamp	,Journal of Field Archaeology	,14	,3	,1987-10-01T00:00:00Z	,pp. 283-296	,Maney Publishing	,fla	,	,
10.2307/40025547,10.2307/40025547	,British Neolithic Rock Art in Its Landscape	,Sara Fairén-Jiménez	,Journal of Field Archaeology	,32	,3	,2007-10-01T00:00:00Z	,pp. 283-295	,Maney Publishing	,fla	,	,
10.2307/529424,10.2307/529424	,The Harbor and Fishery Remains at Cosa_ Italy	,Anna Marguerite McCann	,Journal of Field Archaeology	,6	,4	,1979-12-01T00:00:00Z	,pp. 391-411	,Maney Publishing	,fla	,	,
10.2307/530380,10.2307/530380	,	,David M. Pendergast	,Journal of Field Archaeology	,19	,1	,1992-04-01T00:00:00Z	,pp. 105-108	,Maney Publishing	,brv	,Excavations in the Great Plaza_ North Terrace and North Acropolis of Tikal|William Coe	,
10.2307/530182,10.2307/530182	,	,Thomas W. Killion	,Journal of Field Archaeology	,22	,3	,1995-10-01T00:00:00Z	,pp. 359-361	,Maney Publishing	,brv	,The Archaeology of Garden and Field|Naomi F. Miller;Kathryn L. Gleason	,
10.2307/3181463,10.2307/3181463	,Imaging Radar and Archaeological Survey: An Example from the Gobi Desert of Southern Mongolia	,Derrold W. Holcomb	,Journal of Field Archaeology	,28	,1/2	,2001-04-01T00:00:00Z	,pp. 131-141	,Maney Publishing	,fla	,	,
10.2307/529368,10.2307/529368	,News and Short Contributions	,Douglas V. Campana	,Journal of Field Archaeology	,6	,2	,1979-07-01T00:00:00Z	,pp. 237-242	,Maney Publishing	,fla	,	,
10.2307/529926,10.2307/529926	,	,Joyce Marcus	,Journal of Field Archaeology	,19	,3	,1992-10-01T00:00:00Z	,pp. 397-399	,Maney Publishing	,brv	,Cuello: An Early Maya Community in Belize|Norman Hammond	,
10.2307/530555,10.2307/530555	,	,T. J. Wilkinson	,Journal of Field Archaeology	,23	,4	,1996-12-01T00:00:00Z	,pp. 527-530	,Maney Publishing	,brv	,Late Quaternary Chronology and Palaeoclimates of the Eastern Mediterranean|Ofer Bar-Yosef;Renee S. Kra	,
10.2307/40023503,10.2307/40023503	,	,John W. Hoopes	,Journal of Field Archaeology	,31	,3	,2006-10-01T00:00:00Z	,pp. 342-344	,Maney Publishing	,brv	,San Jacinto 1: A Historical Ecological Approach to an Archaic Site in Colombia|Augusto Oyuela-Caycedo;Renée M. Bonzani	,
10.2307/530216,10.2307/530216	,Early Neolithic Sites at Brześć Kujawski_ Poland: Preliminary Report on the 1980-1984 Excavations	,Ryszard Grygiel	Peter Bogucki	,Journal of Field Archaeology	,13	,2	,1986-07-01T00:00:00Z	,pp. 121-137	,Maney Publishing	,fla	,	,
10.2307/529865,10.2307/529865	,Color Variation on Prehistoric Cypriot Red Polished Pottery	,David Frankel	,Journal of Field Archaeology	,21	,2	,1994-07-01T00:00:00Z	,pp. 205-219	,Maney Publishing	,fla	,	,
10.2307/40024724,10.2307/40024724	,	,Catherine Perlès	,Journal of Field Archaeology	,31	,1	,2006-04-01T00:00:00Z	,pp. 109-110	,Maney Publishing	,brv	,First Farmers: The Origins of Agricultural Societies|Peter Bellwood	,
10.2307/529495,10.2307/529495	,Human Evolution and Geomagnetism	,John S. Kopper	Stavros Papamarinopoulos	,Journal of Field Archaeology	,5	,4	,1978-12-01T00:00:00Z	,pp. 443-452	,Maney Publishing	,fla	,	,
10.2307/529594,10.2307/529594	,The Early Iron Age Settlement of Hascherkeller in Bavaria: Preliminary Report on the 1979 Excavations	,Peter S. Wells	,Journal of Field Archaeology	,7	,3	,1980-10-01T00:00:00Z	,pp. 313-328	,Maney Publishing	,fla	,	,
10.2307/529753,10.2307/529753	,News and Short Contributions	,Benjamin K. W. Booth	Alison Watson	Mary Elizabeth King	,Journal of Field Archaeology	,10	,1	,1983-04-01T00:00:00Z	,pp. 118-125	,Maney Publishing	,fla	,	,
10.2307/529771,10.2307/529771	,Faunal Assemblages and the "Wiegemethode" or Weight Method	,Richard W. Casteel	,Journal of Field Archaeology	,5	,1	,1978-04-01T00:00:00Z	,pp. 71-77	,Maney Publishing	,fla	,	,
10.2307/530662,10.2307/530662	,Formal Architectural Complexes in South-Central Veracruz_ Mexico: A Capital Zone?	,Barbara L. Stark	,Journal of Field Archaeology	,26	,2	,1999-07-01T00:00:00Z	,pp. 197-225	,Maney Publishing	,fla	,	,
10.2307/529712,10.2307/529712	,Experimentation in the Formation of Edge Damage: A New Approach to Lithic Analysis	,Ruth Tringham	Glenn Cooper	George Odell	Barbara Voytek	Anne Whitman	,Journal of Field Archaeology	,1	,1/2	,1974-01-01T00:00:00Z	,pp. 171-196	,Maney Publishing	,fla	,	,
10.2307/529939,10.2307/529939	,Publications	,	,Journal of Field Archaeology	,18	,3	,1991-10-01T00:00:00Z	,pp. 377-382	,Maney Publishing	,mis	,	,
10.2307/529777,10.2307/529777	,Back Matter	,	,Journal of Field Archaeology	,5	,1	,1978-04-01T00:00:00Z	,p. 123	,Maney Publishing	,mis	,	,
10.2307/529641,10.2307/529641	,Back Matter	,	,Journal of Field Archaeology	,4	,3	,1977-10-01T00:00:00Z	,p. 396	,Maney Publishing	,mis	,	,
10.2307/3250909,10.2307/3250909	,	,Donald C. Haggis	,Journal of Field Archaeology	,29	,3/4	,2002-10-01T00:00:00Z	,pp. 480-483	,Maney Publishing	,brv	,Reports on the Vrokastro Area_ Eastern Crete. Volume 1: Catalogue of Pottery from the Bronze and Early Iron Age Settlement of Vrokastro in the Collections of the University of Pennsylvania Museum of Archaeology and Anthropology and the Archaeological Museum_ Herakleion_ Crete|Barbara J. Hayden	,
10.2307/529880,10.2307/529880	,Microwear Analysis in the Maya Lowlands: The Use of Functional Data in a Complex-Society Setting	,Mark S. Aldenderfer	Larry R. Kimball	April Sievert	,Journal of Field Archaeology	,16	,1	,1989-04-01T00:00:00Z	,pp. 47-60	,Maney Publishing	,fla	,	,
10.2307/530175,10.2307/530175	,Two Late Paleolithic Sites on the Federsee_ Germany	,Michael A. Jochim	,Journal of Field Archaeology	,22	,3	,1995-10-01T00:00:00Z	,pp. 263-273	,Maney Publishing	,fla	,	,
10.2307/529990,10.2307/529990	,	,Murray C. McClellan	,Journal of Field Archaeology	,19	,2	,1992-07-01T00:00:00Z	,pp. 239-243	,Maney Publishing	,brv	,Alexander to Actium: The Historical Evolution of the Hellenistic Age|Peter Green	,
10.2307/530679,10.2307/530679	,Publications	,	,Journal of Field Archaeology	,24	,4	,1997-12-01T00:00:00Z	,pp. 493-494	,Maney Publishing	,mis	,	,
10.2307/529983,10.2307/529983	,	,Peter Bogucki	,Journal of Field Archaeology	,19	,2	,1992-07-01T00:00:00Z	,pp. 219-222	,Maney Publishing	,brv	,Selevac_ a Neolithic Village in Yugoslavia|Ruth Tringham;Dušan Krstić	,
10.2307/529831,10.2307/529831	,Back Matter	,	,Journal of Field Archaeology	,17	,2	,1990-07-01T00:00:00Z	,p. 246	,Maney Publishing	,mis	,	,
10.2307/529347,10.2307/529347	,Back Matter	,	,Journal of Field Archaeology	,11	,1	,1984-04-01T00:00:00Z	,p. 122	,Maney Publishing	,mis	,	,
10.2307/3250912,10.2307/3250912	,	,Lucille A. Roussin	,Journal of Field Archaeology	,29	,3/4	,2002-10-01T00:00:00Z	,pp. 494-496	,Maney Publishing	,brv	,The Lie Became Great: The Forgery of Ancient near Eastern Cultures|Oscar White Muscarella	,
10.2307/530471,10.2307/530471	,Enclosing Walls in the Northern San Juan: Sociophysical Boundaries and Defensive Fortifications in the American Southwest	,Susan C. Kenzle	,Journal of Field Archaeology	,24	,2	,1997-07-01T00:00:00Z	,pp. 195-210	,Maney Publishing	,fla	,	,
10.2307/529841,10.2307/529841	,	,Ricardo J. Elia	,Journal of Field Archaeology	,16	,3	,1989-10-01T00:00:00Z	,pp. 350-352	,Maney Publishing	,brv	,Wood Quay: The Clash over Dublin's Viking Past|Thomas Farel Heffernan	,
10.2307/529811,10.2307/529811	,The Antiquities Market	,Karen D. Vitelli	,Journal of Field Archaeology	,3	,1	,1976-01-01T00:00:00Z	,pp. 111-114	,Maney Publishing	,fla	,	,
10.2307/529852,10.2307/529852	,The Mechanism of Organic Preservation at Monte Verde_ Chile_ and One Use of Biomolecules in Archaeological Interpretation	,Noreen Tuross	Tom D. Dillehay	,Journal of Field Archaeology	,22	,1	,1995-04-01T00:00:00Z	,pp. 97-110	,Maney Publishing	,fla	,	,
10.2307/3181441,10.2307/3181441	,Canine Digging Behavior and Archaeological Implications	,Robert J. Jeske	Lawrence A. Kuznar	,Journal of Field Archaeology	,28	,3/4	,2001-10-01T00:00:00Z	,pp. 383-394	,Maney Publishing	,fla	,	,
10.2307/530027,10.2307/530027	,Introduction	,	,Journal of Field Archaeology	,17	,3	,1990-10-01T00:00:00Z	,p. 333	,Maney Publishing	,mis	,	,
10.2307/529967,10.2307/529967	,Analysis of Hull Remains_ Ballast_ and Artifact Distribution of a 16th-Century Shipwreck_ Molasses Reef_ British West Indies	,Donald H. Keith	Joe J. Simmons III	,Journal of Field Archaeology	,12	,4	,1985-12-01T00:00:00Z	,pp. 411-424	,Maney Publishing	,fla	,	,
10.2307/529435,10.2307/529435	,Excavations on the Titelberg_ Luxembourg	,Homer L. Thomas	Ralph M. Rowlett	Elsebet S.-J. Rowlett	B. Miles Gilbert	Robert Rondinelli	,Journal of Field Archaeology	,3	,3	,1976-01-01T00:00:00Z	,pp. 241-259	,Maney Publishing	,fla	,	,
10.2307/40026049,10.2307/40026049	,	,David W. J. Gill	,Journal of Field Archaeology	,32	,1	,2007-04-01T00:00:00Z	,pp. 103-106	,Maney Publishing	,brv	,Archaeology_ Cultural Heritage_ and the Antiquities Trade|Neil Brodie;Morag M. Kersel;Christina Luke;Kathryn Walker Tubb	Who Owns Objects? The Ethics and politics of Collecting Cultural Artefacts|Eleanor Robson;Luke Treadwell;Chris Gosden	,
10.2307/529808,10.2307/529808	,The Supply Mill on Content Brook in Massachusetts: An Example of the Investigation of Recent Historic Sites	,Robert L. Schuyler	Christopher Mills	,Journal of Field Archaeology	,3	,1	,1976-01-01T00:00:00Z	,pp. 61-95	,Maney Publishing	,fla	,	,
10.2307/3181470,10.2307/3181470	,	,P. Jeffrey Brantingham	,Journal of Field Archaeology	,28	,1/2	,2001-04-01T00:00:00Z	,pp. 211-214	,Maney Publishing	,brv	,Aurignacian Lithic Economy: Ecological Perspectives from Southwestern France|Brooke S. Blades	,
10.2307/530281,10.2307/530281	,	,Charles E. Lincoln	,Journal of Field Archaeology	,16	,4	,1989-12-01T00:00:00Z	,pp. 461-467	,Maney Publishing	,brv	,The Collapse of Ancient States and Civilizations|Norman Yoffee;George L. Cowgill	,
10.2307/530429,10.2307/530429	,Shell Middens and Mobility: The Use of Off-Site Faunal Remains_ Queensland_ Australia	,Ian J. McNiven	,Journal of Field Archaeology	,19	,4	,1992-12-01T00:00:00Z	,pp. 495-508	,Maney Publishing	,fla	,	,
10.2307/40023506,10.2307/40023506	,	,Alasdair Whittle	,Journal of Field Archaeology	,31	,3	,2006-10-01T00:00:00Z	,pp. 349-350	,Maney Publishing	,brv	,The Avebury Landscape: Aspects of the Field Archaeology of the Marlborough Downs|Graham Brown;David Field;David McOmish	,
10.2307/530616,10.2307/530616	,	,Paul Zimansky	,Journal of Field Archaeology	,23	,1	,1996-04-01T00:00:00Z	,pp. 138-140	,Maney Publishing	,brv	,Early Stages in the Evolution of Mesopotamian Civilization: Soviet Excavations in Northern Iraq|Norman Yoffee;Jeffrey J. Clarke	,
10.2307/530496,10.2307/530496	,Errata: Reliability of Archaeological Records on Cultivated Surfaces: A Michigan Case Study	,Michael J. Shott	,Journal of Field Archaeology	,23	,3	,1996-10-01T00:00:00Z	,p. 401	,Maney Publishing	,fla	,	,
10.2307/529837,10.2307/529837	,A Technological Perspective on Changes in the Ancient Oaxacan Grayware Ceramic Tradition: Preliminary Results	,Gary M. Feinman	Sherman Banker	Reid F. Cooper	Glen B. Cook	Linda M. Nicholas	,Journal of Field Archaeology	,16	,3	,1989-10-01T00:00:00Z	,pp. 331-344	,Maney Publishing	,fla	,	,
10.2307/529940,10.2307/529940	,Introduction	,Norman Hammond	,Journal of Field Archaeology	,18	,3	,1991-10-01T00:00:00Z	,p. 383	,Maney Publishing	,mis	,	,
10.2307/529858,10.2307/529858	,News and Short Contributions	,Paula Kay Lazrus	,Journal of Field Archaeology	,22	,1	,1995-04-01T00:00:00Z	,pp. 131-135	,Maney Publishing	,fla	,	,
10.2307/529437,10.2307/529437	,Stobi: A City of Ancient Macedonia	,James Wiseman	Djordje Mano-Zissi	,Journal of Field Archaeology	,3	,3	,1976-01-01T00:00:00Z	,pp. 269-302	,Maney Publishing	,fla	,	,
10.2307/40024951,10.2307/40024951	,Front Matter	,	,Journal of Field Archaeology	,31	,2	,2006-07-01T00:00:00Z	,	,Maney Publishing	,mis	,	,
10.2307/3181506,10.2307/3181506	,	,Randolph J. Widmer	,Journal of Field Archaeology	,29	,1/2	,2002-04-01T00:00:00Z	,pp. 250-252	,Maney Publishing	,brv	,Archaeology of the Everglades|John W. Griffin;Jerald T. Milanich;James J. Miller	,
10.2307/529338,10.2307/529338	,Prehistoric Maya Reliance on Marine Resources: Analysis of a Midden from Moho Cay_ Belize	,Heather McKillop	,Journal of Field Archaeology	,11	,1	,1984-04-01T00:00:00Z	,pp. 25-35	,Maney Publishing	,fla	,	,
